Sentence,Intent,NER
update patient contact info for Linda White,update_contact_info,update/O patient/O contact/O info/O for/O Linda/B-PATIENT White/I-PATIENT
discharge patient Emma Davis,discharge_patient,discharge/O patient/O Emma/B-PATIENT Davis/I-PATIENT
update patient contact info for John Smith,update_contact_info,update/O patient/O contact/O info/O for/O John/B-PATIENT Smith/I-PATIENT
add allergy to lactose for John Smith,add_allergy,add/O allergy/O to/O lactose/B-ALLERGY /I-ALLERGY for/O John/B-PATIENT Smith/I-PATIENT
update medical history for Maria Garcia,update_medical_history,update/O medical/O history/O for/O Maria/B-PATIENT Garcia/I-PATIENT
order x-ray for Alice Johnson,order_xray,order/O x-ray/O for/O Alice/B-PATIENT Johnson/I-PATIENT
add new patient Sophia Lewis 56 years old with depression,add_patient,add/O Sophia/B-PATIENT Lewis/I-PATIENT/B-PATIENT 56/B-AGE years/O old/O with/O depression/B-DISEASE /I-DISEASE/B-DISEASE
consult with a cardiologist for Emma Davis,consult_specialist,consult/O with/O a/O cardiologist/B-SPECIALTY /I-SPECIALTY for/O Emma/B-PATIENT Davis/I-PATIENT
order blood test for Sophia Lewis,order_blood_test,order/O blood/O test/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
discharge patient Alice Johnson,discharge_patient,discharge/O patient/O Alice/B-PATIENT Johnson/I-PATIENT
update patient contact info for John Smith,update_contact_info,update/O patient/O contact/O info/O for/O John/B-PATIENT Smith/I-PATIENT
get patient information for Maria Garcia,get_patient_info,get/O patient/O information/O for/O Maria/B-PATIENT Garcia/I-PATIENT
check lab results for John Smith,check_lab_results,check/O lab/O results/O for/O John/B-PATIENT Smith/I-PATIENT
add new patient Emma Davis 43 years old with hypertension,add_patient,add/O Emma/B-PATIENT Davis/I-PATIENT/B-PATIENT 43/B-AGE years/O old/O with/O hypertension/B-DISEASE /I-DISEASE/B-DISEASE
update patient contact info for Sophia Lewis,update_contact_info,update/O patient/O contact/O info/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
add allergy to lactose for Emma Davis,add_allergy,add/O allergy/O to/O lactose/B-ALLERGY /I-ALLERGY for/O Emma/B-PATIENT Davis/I-PATIENT
schedule appointment for John Smith next week,schedule_appointment,schedule/O appointment/O for/O John/B-PATIENT Smith/I-PATIENT next/O week/O
add new patient Sophia Lewis 31 years old with arthritis,add_patient,add/O Sophia/B-PATIENT Lewis/I-PATIENT/B-PATIENT 31/B-AGE years/O old/O with/O arthritis/B-DISEASE /I-DISEASE/B-DISEASE
schedule appointment for Maria Garcia next week,schedule_appointment,schedule/O appointment/O for/O Maria/B-PATIENT Garcia/I-PATIENT next/O week/O
update medication dosage for paracetamol to every 6 hours for Michael Clark,update_medication,update/O medication/O dosage/O for/O paracetamol/B-MEDICATION /I-MEDICATION to/O every/B-DOSAGE 6 hours/I-DOSAGE for/O Michael/B-PATIENT Clark/I-PATIENT
assign medication gabapentin every morning for Linda White,assign_medication,assign/O medication/O gabapentin/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE morning/I-DOSAGE for/O Linda/B-PATIENT White/I-PATIENT
order x-ray for Sophia Lewis,order_xray,order/O x-ray/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
schedule appointment for Maria Garcia next week,schedule_appointment,schedule/O appointment/O for/O Maria/B-PATIENT Garcia/I-PATIENT next/O week/O
add new patient James Brown 57 years old with anemia,add_patient,add/O James/B-PATIENT Brown/I-PATIENT/B-PATIENT 57/B-AGE years/O old/O with/O anemia/B-DISEASE /I-DISEASE/B-DISEASE
schedule appointment for Sophia Lewis next week,schedule_appointment,schedule/O appointment/O for/O Sophia/B-PATIENT Lewis/I-PATIENT next/O week/O
order blood test for James Brown,order_blood_test,order/O blood/O test/O for/O James/B-PATIENT Brown/I-PATIENT
consult with a orthopedic surgeon for Michael Clark,consult_specialist,consult/O with/O a/O orthopedic/B-SPECIALTY surgeon/I-SPECIALTY for/O Michael/B-PATIENT Clark/I-PATIENT
get patient information for Michael Clark,get_patient_info,get/O patient/O information/O for/O Michael/B-PATIENT Clark/I-PATIENT
consult with a gastroenterologist for Joe Doe,consult_specialist,consult/O with/O a/O gastroenterologist/B-SPECIALTY /I-SPECIALTY for/O Joe/B-PATIENT Doe/I-PATIENT
get patient information for Maria Garcia,get_patient_info,get/O patient/O information/O for/O Maria/B-PATIENT Garcia/I-PATIENT
add allergy to shellfish for Oliver Harris,add_allergy,add/O allergy/O to/O shellfish/B-ALLERGY /I-ALLERGY for/O Oliver/B-PATIENT Harris/I-PATIENT
discharge patient Sophia Lewis,discharge_patient,discharge/O patient/O Sophia/B-PATIENT Lewis/I-PATIENT
assign medication metformin every 4 hours for Alice Johnson,assign_medication,assign/O medication/O metformin/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE 4 hours/I-DOSAGE for/O Alice/B-PATIENT Johnson/I-PATIENT
discharge patient John Smith,discharge_patient,discharge/O patient/O John/B-PATIENT Smith/I-PATIENT
update medical history for Emma Davis,update_medical_history,update/O medical/O history/O for/O Emma/B-PATIENT Davis/I-PATIENT
consult with a cardiologist for Sophia Lewis,consult_specialist,consult/O with/O a/O cardiologist/B-SPECIALTY /I-SPECIALTY for/O Sophia/B-PATIENT Lewis/I-PATIENT
schedule appointment for Maria Garcia next week,schedule_appointment,schedule/O appointment/O for/O Maria/B-PATIENT Garcia/I-PATIENT next/O week/O
check lab results for Emma Davis,check_lab_results,check/O lab/O results/O for/O Emma/B-PATIENT Davis/I-PATIENT
update medication dosage for insulin to after meals for Linda White,update_medication,update/O medication/O dosage/O for/O insulin/B-MEDICATION /I-MEDICATION to/O after/B-DOSAGE meals/I-DOSAGE for/O Linda/B-PATIENT White/I-PATIENT
order blood test for Emma Davis,order_blood_test,order/O blood/O test/O for/O Emma/B-PATIENT Davis/I-PATIENT
schedule cataract surgery for John Smith,schedule_surgery,schedule/O cataract/B-SURGERY surgery/I-SURGERY for/O John/B-PATIENT Smith/I-PATIENT
check lab results for John Smith,check_lab_results,check/O lab/O results/O for/O John/B-PATIENT Smith/I-PATIENT
update patient contact info for Joe Doe,update_contact_info,update/O patient/O contact/O info/O for/O Joe/B-PATIENT Doe/I-PATIENT
check lab results for Michael Clark,check_lab_results,check/O lab/O results/O for/O Michael/B-PATIENT Clark/I-PATIENT
add new patient Maria Garcia 47 years old with heart disease,add_patient,add/O Maria/B-PATIENT Garcia/I-PATIENT/B-PATIENT 47/B-AGE years/O old/O with/O heart/B-DISEASE disease/I-DISEASE/B-DISEASE
add new patient Emma Davis 48 years old with asthma,add_patient,add/O Emma/B-PATIENT Davis/I-PATIENT/B-PATIENT 48/B-AGE years/O old/O with/O asthma/B-DISEASE /I-DISEASE/B-DISEASE
order blood test for Maria Garcia,order_blood_test,order/O blood/O test/O for/O Maria/B-PATIENT Garcia/I-PATIENT
remove medication insulin from Joe Doe's treatment plan,remove_medication,remove/O medication/O insulin/B-MEDICATION /I-MEDICATION from/O Joe/B-PATIENT Doe/I-PATIENT 's/O treatment/O plan/O
update patient contact info for Oliver Harris,update_contact_info,update/O patient/O contact/O info/O for/O Oliver/B-PATIENT Harris/I-PATIENT
update medical history for John Smith,update_medical_history,update/O medical/O history/O for/O John/B-PATIENT Smith/I-PATIENT
assign medication amoxicillin twice a day for Joe Doe,assign_medication,assign/O medication/O amoxicillin/B-MEDICATION /I-MEDICATIONtwice/B-DOSAGE a day/I-DOSAGE for/O Joe/B-PATIENT Doe/I-PATIENT
add allergy to dust for Oliver Harris,add_allergy,add/O allergy/O to/O dust/B-ALLERGY /I-ALLERGY for/O Oliver/B-PATIENT Harris/I-PATIENT
discharge patient Michael Clark,discharge_patient,discharge/O patient/O Michael/B-PATIENT Clark/I-PATIENT
assign medication gabapentin every 6 hours for Linda White,assign_medication,assign/O medication/O gabapentin/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE 6 hours/I-DOSAGE for/O Linda/B-PATIENT White/I-PATIENT
schedule appointment for Linda White next week,schedule_appointment,schedule/O appointment/O for/O Linda/B-PATIENT White/I-PATIENT next/O week/O
add allergy to soy for Maria Garcia,add_allergy,add/O allergy/O to/O soy/B-ALLERGY /I-ALLERGY for/O Maria/B-PATIENT Garcia/I-PATIENT
schedule spinal surgery for Emma Davis,schedule_surgery,schedule/O spinal/B-SURGERY surgery/I-SURGERY for/O Emma/B-PATIENT Davis/I-PATIENT
schedule appointment for Sophia Lewis next week,schedule_appointment,schedule/O appointment/O for/O Sophia/B-PATIENT Lewis/I-PATIENT next/O week/O
order blood test for Emma Davis,order_blood_test,order/O blood/O test/O for/O Emma/B-PATIENT Davis/I-PATIENT
add allergy to penicillin for Alice Johnson,add_allergy,add/O allergy/O to/O penicillin/B-ALLERGY /I-ALLERGY for/O Alice/B-PATIENT Johnson/I-PATIENT
schedule appointment for Sophia Lewis next week,schedule_appointment,schedule/O appointment/O for/O Sophia/B-PATIENT Lewis/I-PATIENT next/O week/O
assign medication metformin before meals for Alice Johnson,assign_medication,assign/O medication/O metformin/B-MEDICATION /I-MEDICATIONbefore/B-DOSAGE meals/I-DOSAGE for/O Alice/B-PATIENT Johnson/I-PATIENT
check lab results for Emma Davis,check_lab_results,check/O lab/O results/O for/O Emma/B-PATIENT Davis/I-PATIENT
remove medication statins from John Smith's treatment plan,remove_medication,remove/O medication/O statins/B-MEDICATION /I-MEDICATION from/O John/B-PATIENT Smith/I-PATIENT 's/O treatment/O plan/O
consult with a neurologist for Maria Garcia,consult_specialist,consult/O with/O a/O neurologist/B-SPECIALTY /I-SPECIALTY for/O Maria/B-PATIENT Garcia/I-PATIENT
schedule knee surgery for Joe Doe,schedule_surgery,schedule/O knee/B-SURGERY surgery/I-SURGERY for/O Joe/B-PATIENT Doe/I-PATIENT
add allergy to penicillin for Linda White,add_allergy,add/O allergy/O to/O penicillin/B-ALLERGY /I-ALLERGY for/O Linda/B-PATIENT White/I-PATIENT
add allergy to soy for Linda White,add_allergy,add/O allergy/O to/O soy/B-ALLERGY /I-ALLERGY for/O Linda/B-PATIENT White/I-PATIENT
assign medication statins every 4 hours for John Smith,assign_medication,assign/O medication/O statins/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE 4 hours/I-DOSAGE for/O John/B-PATIENT Smith/I-PATIENT
assign medication insulin before meals for John Smith,assign_medication,assign/O medication/O insulin/B-MEDICATION /I-MEDICATIONbefore/B-DOSAGE meals/I-DOSAGE for/O John/B-PATIENT Smith/I-PATIENT
order blood test for Sophia Lewis,order_blood_test,order/O blood/O test/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
add allergy to dust for Maria Garcia,add_allergy,add/O allergy/O to/O dust/B-ALLERGY /I-ALLERGY for/O Maria/B-PATIENT Garcia/I-PATIENT
update medication dosage for lorazepam to after meals for Linda White,update_medication,update/O medication/O dosage/O for/O lorazepam/B-MEDICATION /I-MEDICATION to/O after/B-DOSAGE meals/I-DOSAGE for/O Linda/B-PATIENT White/I-PATIENT
update medical history for Oliver Harris,update_medical_history,update/O medical/O history/O for/O Oliver/B-PATIENT Harris/I-PATIENT
update medical history for John Smith,update_medical_history,update/O medical/O history/O for/O John/B-PATIENT Smith/I-PATIENT
check lab results for Emma Davis,check_lab_results,check/O lab/O results/O for/O Emma/B-PATIENT Davis/I-PATIENT
consult with a orthopedic surgeon for James Brown,consult_specialist,consult/O with/O a/O orthopedic/B-SPECIALTY surgeon/I-SPECIALTY for/O James/B-PATIENT Brown/I-PATIENT
consult with a neurologist for Emma Davis,consult_specialist,consult/O with/O a/O neurologist/B-SPECIALTY /I-SPECIALTY for/O Emma/B-PATIENT Davis/I-PATIENT
order blood test for Linda White,order_blood_test,order/O blood/O test/O for/O Linda/B-PATIENT White/I-PATIENT
discharge patient Joe Doe,discharge_patient,discharge/O patient/O Joe/B-PATIENT Doe/I-PATIENT
schedule spinal surgery for Oliver Harris,schedule_surgery,schedule/O spinal/B-SURGERY surgery/I-SURGERY for/O Oliver/B-PATIENT Harris/I-PATIENT
schedule appointment for John Smith next week,schedule_appointment,schedule/O appointment/O for/O John/B-PATIENT Smith/I-PATIENT next/O week/O
get patient information for Sophia Lewis,get_patient_info,get/O patient/O information/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
schedule appointment for James Brown next week,schedule_appointment,schedule/O appointment/O for/O James/B-PATIENT Brown/I-PATIENT next/O week/O
get patient information for Sophia Lewis,get_patient_info,get/O patient/O information/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
add new patient Oliver Harris 58 years old with diabetes,add_patient,add/O Oliver/B-PATIENT Harris/I-PATIENT/B-PATIENT 58/B-AGE years/O old/O with/O diabetes/B-DISEASE /I-DISEASE/B-DISEASE
schedule appointment for Joe Doe next week,schedule_appointment,schedule/O appointment/O for/O Joe/B-PATIENT Doe/I-PATIENT next/O week/O
check lab results for Alice Johnson,check_lab_results,check/O lab/O results/O for/O Alice/B-PATIENT Johnson/I-PATIENT
schedule appointment for Linda White next week,schedule_appointment,schedule/O appointment/O for/O Linda/B-PATIENT White/I-PATIENT next/O week/O
consult with a gastroenterologist for Maria Garcia,consult_specialist,consult/O with/O a/O gastroenterologist/B-SPECIALTY /I-SPECIALTY for/O Maria/B-PATIENT Garcia/I-PATIENT
add new patient Oliver Harris 74 years old with hypertension,add_patient,add/O Oliver/B-PATIENT Harris/I-PATIENT/B-PATIENT 74/B-AGE years/O old/O with/O hypertension/B-DISEASE /I-DISEASE/B-DISEASE
remove medication insulin from Alice Johnson's treatment plan,remove_medication,remove/O medication/O insulin/B-MEDICATION /I-MEDICATION from/O Alice/B-PATIENT Johnson/I-PATIENT 's/O treatment/O plan/O
get patient information for Linda White,get_patient_info,get/O patient/O information/O for/O Linda/B-PATIENT White/I-PATIENT
update medical history for Linda White,update_medical_history,update/O medical/O history/O for/O Linda/B-PATIENT White/I-PATIENT
get patient information for Emma Davis,get_patient_info,get/O patient/O information/O for/O Emma/B-PATIENT Davis/I-PATIENT
check lab results for James Brown,check_lab_results,check/O lab/O results/O for/O James/B-PATIENT Brown/I-PATIENT
add new patient Michael Clark 52 years old with heart disease,add_patient,add/O Michael/B-PATIENT Clark/I-PATIENT/B-PATIENT 52/B-AGE years/O old/O with/O heart/B-DISEASE disease/I-DISEASE/B-DISEASE
consult with a neurologist for Oliver Harris,consult_specialist,consult/O with/O a/O neurologist/B-SPECIALTY /I-SPECIALTY for/O Oliver/B-PATIENT Harris/I-PATIENT
schedule appointment for Michael Clark next week,schedule_appointment,schedule/O appointment/O for/O Michael/B-PATIENT Clark/I-PATIENT next/O week/O
update medical history for James Brown,update_medical_history,update/O medical/O history/O for/O James/B-PATIENT Brown/I-PATIENT
assign medication lorazepam after meals for Maria Garcia,assign_medication,assign/O medication/O lorazepam/B-MEDICATION /I-MEDICATIONafter/B-DOSAGE meals/I-DOSAGE for/O Maria/B-PATIENT Garcia/I-PATIENT
remove medication lorazepam from James Brown's treatment plan,remove_medication,remove/O medication/O lorazepam/B-MEDICATION /I-MEDICATION from/O James/B-PATIENT Brown/I-PATIENT 's/O treatment/O plan/O
consult with a gastroenterologist for Emma Davis,consult_specialist,consult/O with/O a/O gastroenterologist/B-SPECIALTY /I-SPECIALTY for/O Emma/B-PATIENT Davis/I-PATIENT
remove medication metformin from Sophia Lewis's treatment plan,remove_medication,remove/O medication/O metformin/B-MEDICATION /I-MEDICATION from/O Sophia/B-PATIENT Lewis/I-PATIENT 's/O treatment/O plan/O
add new patient Oliver Harris 79 years old with chronic pain,add_patient,add/O Oliver/B-PATIENT Harris/I-PATIENT/B-PATIENT 79/B-AGE years/O old/O with/O chronic/B-DISEASE pain/I-DISEASE/B-DISEASE
add allergy to soy for Michael Clark,add_allergy,add/O allergy/O to/O soy/B-ALLERGY /I-ALLERGY for/O Michael/B-PATIENT Clark/I-PATIENT
remove medication amoxicillin from James Brown's treatment plan,remove_medication,remove/O medication/O amoxicillin/B-MEDICATION /I-MEDICATION from/O James/B-PATIENT Brown/I-PATIENT 's/O treatment/O plan/O
discharge patient Emma Davis,discharge_patient,discharge/O patient/O Emma/B-PATIENT Davis/I-PATIENT
order x-ray for James Brown,order_xray,order/O x-ray/O for/O James/B-PATIENT Brown/I-PATIENT
remove medication paracetamol from Emma Davis's treatment plan,remove_medication,remove/O medication/O paracetamol/B-MEDICATION /I-MEDICATION from/O Emma/B-PATIENT Davis/I-PATIENT 's/O treatment/O plan/O
consult with a orthopedic surgeon for Maria Garcia,consult_specialist,consult/O with/O a/O orthopedic/B-SPECIALTY surgeon/I-SPECIALTY for/O Maria/B-PATIENT Garcia/I-PATIENT
order x-ray for Maria Garcia,order_xray,order/O x-ray/O for/O Maria/B-PATIENT Garcia/I-PATIENT
discharge patient Alice Johnson,discharge_patient,discharge/O patient/O Alice/B-PATIENT Johnson/I-PATIENT
schedule heart bypass for Linda White,schedule_surgery,schedule/O heart/B-SURGERY bypass/I-SURGERY for/O Linda/B-PATIENT White/I-PATIENT
update medical history for Joe Doe,update_medical_history,update/O medical/O history/O for/O Joe/B-PATIENT Doe/I-PATIENT
